2026-05-06 15:27:02 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 134, 页码: 6, 页大小: 20
2026-05-06 15:27:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看组织列表 | Details: 获取了 1 个组织，偏移量: 0, 限制: 100
2026-05-06 15:27:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:27:11 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看组织列表 | Details: 获取了 1 个组织，偏移量: 0, 限制: 100
2026-05-06 15:27:16 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:27:16 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 3 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-05-06 15:27:16 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-05-06 16:31:18 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 16:31:51 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建预约 | Details: 预约ID: 4, 会议室: 会议室 A, 时间: 2026-05-06 19:30:00 - 2026-05-06 20:30:00, 事由: 而我认为 
2026-05-06 16:32:06 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建预约 | Details: 预约ID: 5, 会议室: 会议室 B, 时间: 2026-05-06 09:00:00 - 2026-05-06 10:00:00, 事由: 豆腐干豆腐干反对
2026-05-06 16:32:21 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建预约 | Details: 预约ID: 6, 会议室: 会议室 C, 时间: 2026-05-06 19:00:00 - 2026-05-06 20:00:00, 事由: 太热帖
2026-05-06 16:32:49 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 16:33:04 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建预约 | Details: 预约ID: 7, 会议室: 会议室 C, 时间: 2026-05-06 17:30:00 - 2026-05-06 18:30:00, 事由: 太热帖十分士大夫
2026-05-06 16:33:29 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 16:39:09 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 16:46:57 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 16:48:59 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 用户登录 | Details: 成功登录系统
